timestamp,global_step,epoch,iter,loss
2026-04-19T02:35:45.550102+00:00,135,1,134,3.1286685466766357
2026-04-19T02:35:45.627618+00:00,136,1,135,3.0966973304748535
2026-04-19T02:35:45.704148+00:00,137,1,136,3.1135473251342773
2026-04-19T02:35:45.782160+00:00,138,1,137,3.103256940841675
2026-04-19T02:35:45.855669+00:00,139,1,138,3.119345188140869
2026-04-19T02:35:45.958190+00:00,140,1,139,3.099623441696167
2026-04-19T02:35:46.047713+00:00,141,1,140,3.097231149673462
2026-04-19T02:35:46.129236+00:00,142,1,141,3.110417127609253
2026-04-19T02:35:46.220546+00:00,143,1,142,3.0811328887939453
2026-04-19T02:35:46.337074+00:00,144,1,143,3.0806479454040527
2026-04-19T02:35:46.412599+00:00,145,1,144,3.108776807785034
2026-04-19T02:35:46.495118+00:00,146,1,145,3.0649142265319824
2026-04-19T02:35:46.584130+00:00,147,1,146,3.0871715545654297
2026-04-19T02:35:46.665640+00:00,148,1,147,3.089150905609131
2026-04-19T02:35:46.743161+00:00,149,1,148,3.0832407474517822
2026-04-19T02:35:46.820692+00:00,150,1,149,3.1184792518615723
2026-04-19T02:35:46.894221+00:00,151,1,150,3.075878858566284
2026-04-19T02:35:46.975231+00:00,152,1,151,3.070314645767212
2026-04-19T02:35:47.060741+00:00,153,1,152,3.085293769836426
2026-04-19T02:35:47.150162+00:00,154,1,153,3.113236427307129
2026-04-19T02:35:47.217701+00:00,155,1,154,3.115738868713379
2026-04-19T02:35:47.318227+00:00,156,1,155,3.0912375450134277
2026-04-19T02:35:47.412494+00:00,157,1,156,3.1211025714874268
2026-04-19T02:35:47.492948+00:00,158,1,157,3.1248984336853027
2026-04-19T02:35:47.571947+00:00,159,1,158,3.0525717735290527
2026-04-19T02:35:47.690482+00:00,160,1,159,3.089717388153076
2026-04-19T02:35:47.778010+00:00,161,1,160,3.119006872177124
2026-04-19T02:35:47.914119+00:00,162,1,161,3.1333184242248535
2026-04-19T02:35:47.988138+00:00,163,1,162,3.102583885192871
2026-04-19T02:35:48.080672+00:00,164,1,163,3.180833101272583
2026-04-19T02:35:48.153184+00:00,165,1,164,3.0624032020568848
2026-04-19T02:35:48.254700+00:00,166,1,165,3.0762338638305664
2026-04-19T02:35:48.353239+00:00,167,1,166,3.074924945831299
2026-04-19T02:35:48.440756+00:00,168,1,167,3.1010262966156006
2026-04-19T02:35:48.514287+00:00,169,1,168,3.14335560798645
2026-04-19T02:35:48.594867+00:00,170,1,169,3.0984697341918945
2026-04-19T02:35:48.670876+00:00,171,1,170,3.0869545936584473
2026-04-19T02:35:48.745393+00:00,172,1,171,3.070056200027466
2026-04-19T02:35:48.815914+00:00,173,1,172,3.1073763370513916
2026-04-19T02:35:48.894438+00:00,174,1,173,3.1143639087677
2026-04-19T02:35:48.967436+00:00,175,1,174,3.0902092456817627
2026-04-19T02:35:49.069951+00:00,176,1,175,3.085660696029663
2026-04-19T02:35:49.169499+00:00,177,1,176,3.069683790206909
2026-04-19T02:35:49.247017+00:00,178,1,177,3.083662986755371
2026-04-19T02:35:49.318188+00:00,179,1,178,3.124455213546753
2026-04-19T02:35:49.398719+00:00,180,1,179,3.088406562805176
2026-04-19T02:35:49.470721+00:00,181,1,180,3.089926242828369
2026-04-19T02:35:49.551240+00:00,182,1,181,3.0766994953155518
2026-04-19T02:35:49.620761+00:00,183,1,182,3.08613657951355
2026-04-19T02:35:49.702289+00:00,184,1,183,3.2125306129455566
2026-04-19T02:35:49.775296+00:00,185,1,184,3.1109519004821777
2026-04-19T02:35:49.848811+00:00,186,1,185,3.1104836463928223
2026-04-19T02:35:49.947327+00:00,187,1,186,3.0784435272216797
2026-04-19T02:35:50.052861+00:00,188,1,187,3.1178786754608154
2026-04-19T02:35:50.121387+00:00,189,1,188,3.134860038757324
2026-04-19T02:35:50.192918+00:00,190,1,189,3.0693581104278564
2026-04-19T02:35:50.266921+00:00,191,1,190,3.0599560737609863
2026-04-19T02:35:50.346439+00:00,192,1,191,3.0714898109436035
